Year,Major#,Champion,Seed_Champion,Ctry_Champion,Runner-up,Seed_Runner-up,Ctry_Runner-up,Score in the Final,Major
1976,3.0,Björn Borg,4,SWE,Ilie Năstase,3,ROM,"6–4, 6–2, 9–7",
1976,4.0,Jimmy Connors,1,USA,Björn Borg,2,SWE,"6–4, 3–6, 7–6(11–9), 6–4",
1977,1.0,Roscoe Tanner,2,USA,Guillermo Vilas,1,ARG,"6–3, 6–3, 6–3",
1977,1.0,Vitas Gerulaitis,1,USA,John Lloyd,0,GBR,"6–3, 7–6(7–1), 5–7, 3–6, 6–2",
1977,2.0,Guillermo Vilas,3,ARG,Brian Gottfried,5,USA,"6–0, 6–3, 6–0",
1977,3.0,Björn Borg,2,SWE,Jimmy Connors,1,USA,"3–6, 6–2, 6–1, 5–7, 6–4",
1977,4.0,Guillermo Vilas,4,ARG,Jimmy Connors,2,USA,"2–6, 6–3, 7–6(7–4), 6–0",
1978,1.0,Guillermo Vilas,1,ARG,John Marks,0,AUS,"6–4, 6–4, 3–6, 6–3",
1978,2.0,Björn Borg,1,SWE,Guillermo Vilas,2,ARG,"6–1, 6–1, 6–3",
1978,3.0,Björn Borg,1,SWE,Jimmy Connors,2,USA,"6–2, 6–2, 6–3",
1978,4.0,Jimmy Connors,2,USA,Björn Borg,1,SWE,"6–4, 6–2, 6–2",
1979,1.0,Guillermo Vilas,1,ARG,John Sadri,6,USA,"7–6(7–4), 6–3, 6–2",
1979,2.0,Björn Borg,1,SWE,Víctor Pecci,0,PAR,"6–3, 6–1, 6–7(6–8), 6–4",
1979,3.0,Björn Borg,1,SWE,Roscoe Tanner,5,USA,"6–7(4–7), 6–1, 3–6, 6–3, 6–4",
1979,4.0,John McEnroe,3,USA,Vitas Gerulaitis,4,USA,"7–5, 6–3, 6–3",
1980,1.0,Brian Teacher,8,USA,Kim Warwick,14,AUS,"7–5, 7–6(7–4), 6–3",
1980,2.0,Björn Borg,1,SWE,Vitas Gerulaitis,5,USA,"6–4, 6–1, 6–2",
1980,3.0,Björn Borg,1,SWE,John McEnroe,2,USA,"1–6, 7–5, 6–3, 6–7(16–18), 8–6",
1980,4.0,John McEnroe,2,USA,Björn Borg,1,SWE,"7–6(7–4), 6–1, 6–7(5–7), 5–7, 6–4",
1981,1.0,Johan Kriek,4,RSA,Steve Denton,0,USA,"6–2, 7–6(7–1), 6–7(1–7), 6–4",
1981,2.0,Björn Borg,1,SWE,Ivan Lendl,5,TCH,"6–1, 4–6, 6–2, 3–6, 6–1",
1981,3.0,John McEnroe,2,USA,Björn Borg,1,SWE,"4–6, 7–6(7–1), 7–6(7–4), 6–4",
1981,4.0,John McEnroe,1,USA,Björn Borg,2,SWE,"4–6, 6–2, 6–4, 6–3",
1982,1.0,Johan Kriek,1,USA,Steve Denton,2,USA,"6–3, 6–3, 6–2",
1982,2.0,Mats Wilander,0,SWE,Guillermo Vilas,3,ARG,"1–6, 7–6(8–6), 6–0, 6–4",
1982,3.0,Jimmy Connors,2,USA,John McEnroe,1,USA,"3–6, 6–3, 6–7(2–7), 7–6(7–5), 6–4",
1982,4.0,Jimmy Connors,2,USA,Ivan Lendl,3,TCH,"6–3, 6–2, 4–6, 6–4",
1983,1.0,Mats Wilander,3,SWE,Ivan Lendl,1,TCH,"6–1, 6–4, 6–4",
1983,2.0,Yannick Noah,6,FRA,Mats Wilander,5,SWE,"6–2, 7–5, 7–6(7–3)",
1983,3.0,John McEnroe,2,USA,Chris Lewis,0,NZL,"6–2, 6–2, 6–2",
1983,4.0,Jimmy Connors,3,USA,Ivan Lendl,2,TCH,"6–3, 6–7(2–7), 7–5, 6–0",
1984,1.0,Mats Wilander,2,SWE,Kevin Curren,9,RSA,"6–7(5–7), 6–4, 7–6(7–3), 6–2",
1984,2.0,Ivan Lendl,2,TCH,John McEnroe,1,USA,"3–6, 2–6, 6–4, 7–5, 7–5",
1984,3.0,John McEnroe,1,USA,Jimmy Connors,3,USA,"6–1, 6–1, 6–2",
1984,4.0,John McEnroe,1,USA,Ivan Lendl,2,TCH,"6–3, 6–4, 6–1",
1985,1.0,Stefan Edberg,6,SWE,Mats Wilander,3,SWE,"6–4, 6–3, 6–3",
1985,2.0,Mats Wilander,4,SWE,Ivan Lendl,2,TCH,"3–6, 6–4, 6–2, 6–2",
1985,3.0,Boris Becker,0,FRG,Kevin Curren,8,USA,"6–3, 6–7(4–7), 7–6(7–3), 6–4",
1985,4.0,Ivan Lendl,2,TCH,John McEnroe,1,USA,"7–6(7–1), 6–3, 6–4",
1986,2.0,Ivan Lendl,1,TCH,Mikael Pernfors,0,SWE,"6–3, 6–2, 6–4",
1986,3.0,Boris Becker,4,FRG,Ivan Lendl,1, TCH,"6–4, 6–3, 7–5",
1986,4.0,Ivan Lendl,1,TCH,Miloslav Mečíř,16,TCH,"6–4, 6–2, 6–0",
1987,1.0,Stefan Edberg,4,SWE,Pat Cash,11,AUS,"6–3, 6–4, 3–6, 5–7, 6–3",
1987,2.0,Ivan Lendl,1,TCH,Mats Wilander,4,SWE,"7–5, 6–2, 3–6, 7–6(7–3)",
1987,3.0,Pat Cash,11,AUS,Ivan Lendl,2, TCH,"7–6(7–5), 6–2, 7–5",
1987,4.0,Ivan Lendl,1,TCH,Mats Wilander,3,SWE,"6–7(7–9), 6–0, 7–6(7–4), 6–4",
1988,1.0,Mats Wilander,3,SWE,Pat Cash,4,AUS,"6–3, 6–7(3–7), 3–6, 6–1, 8–6",
1988,2.0,Mats Wilander,3,SWE,Henri Leconte,1,FRA,"7–5, 6–2, 6–1",
1988,3.0,Stefan Edberg,3,SWE,Boris Becker,6, FRG,"4–6, 7–6(7–2), 6–4, 6–2",
1988,4.0,Mats Wilander,2,SWE,Ivan Lendl,1,TCH,"6–4, 4–6, 6–3, 5–7, 6–4",
1989,1.0,Ivan Lendl,2,TCH,Miloslav Mečíř,9,TCH,"6–2, 6–2, 6–2",
1989,2.0,Michael Chang,15,USA,Stefan Edberg,3,SWE,"6–1, 3–6, 4–6, 6–4, 6–2",
1989,3.0,Boris Becker,3,FRG,Stefan Edberg,2,SWE,"6–0, 7–6(7–1), 6–4",
1989,4.0,Boris Becker,2,FRG,Ivan Lendl,1,TCH,"7–6(7–2), 1–6, 6–3, 7–6(7–4)",
1990,1.0,Ivan Lendl,1,TCH,Stefan Edberg,3,SWE,"4–6, 7–6(7–3), 5–2 retired",
1990,2.0,Andrés Gómez,4,ECU,Andre Agassi,3,USA,"6–3, 2–6, 6–4, 6–4",
1990,3.0,Stefan Edberg,3,SWE,Boris Becker,2,FRG,"6–2, 6–2, 3–6, 3–6, 6–4",
1990,4.0,Pete Sampras,12,USA,Andre Agassi,4,USA,"6–4, 6–3, 6–2",
1991,1.0,Boris Becker,2,GER,Ivan Lendl,3,TCH,"1–6, 6–4, 6–4, 6–4",
1991,2.0,Jim Courier,9,USA,Andre Agassi,4,USA,"3–6, 6–4, 2–6, 6–1, 6–4",
1991,3.0,Michael Stich,6,GER,Boris Becker,2,GER,"6–4, 7–6(7–4), 6–4",
1991,4.0,Stefan Edberg,2,SWE,Jim Courier,4,USA,"6–2, 6–4, 6–0",
1992,1.0,Jim Courier,2,USA,Stefan Edberg,1,SWE,"6–3, 3–6, 6–4, 6–2",
1992,2.0,Jim Courier,1,USA,Petr Korda,7,TCH,"7–5, 6–2, 6–1",
1992,3.0,Andre Agassi,12,USA,Goran Ivanišević,8,CRO,"6–7(8–10), 6–4, 6–4, 1–6, 6–4",
1992,4.0,Stefan Edberg,2,SWE,Pete Sampras,3,USA,"3–6, 6–4, 7–6(7–5), 6–2",
1993,1.0,Jim Courier,1,USA,Stefan Edberg,2,SWE,"6–2, 6–1, 2–6, 7–5",
1993,2.0,Sergi Bruguera,10,ESP,Jim Courier,2,USA,"6–4, 2–6, 6–2, 3–6, 6–3",
1993,3.0,Pete Sampras,1,USA,Jim Courier,3,USA,"7–6(7–3), 7–6(8–6), 3–6, 6–3",
1993,4.0,Pete Sampras,2,USA,Cédric Pioline,15,FRA,"6–4, 6–4, 6–3",
1994,1.0,Pete Sampras,1,USA,Todd Martin,9,USA,"7–6(7–4), 6–4, 6–4",
1994,2.0,Sergi Bruguera,6,ESP,Alberto Berasategui,0,ESP,"6–3, 7–5, 2–6, 6–1",
1994,3.0,Pete Sampras,1,USA,Goran Ivanišević,4,CRO,"7–6(7–2), 7–6(7–5), 6–0",
1994,4.0,Andre Agassi,0,USA,Michael Stich,4,GER,"6–1, 7–6(7–5), 7–5",
1995,1.0,Andre Agassi,2,USA,Pete Sampras,1,USA,"4–6, 6–1, 7–6(8–6), 6–4",
1995,2.0,Thomas Muster,5,AUT,Michael Chang,6,USA,"7–5, 6–2, 6–4",
1995,3.0,Pete Sampras,2,USA,Boris Becker,3,GER,"6–7(5–7), 6–2, 6–4, 6–2",
1995,4.0,Pete Sampras,2,USA,Andre Agassi,1,USA,"6–4, 6–3, 4–6, 7–5",
1996,1.0,Boris Becker,4,GER,Michael Chang,5,USA,"6–2, 6–4, 2–6, 6–2",
1996,2.0,Yevgeny Kafelnikov,6,RUS,Michael Stich,15,GER,"7–6(7–4), 7–5, 7–6(7–4)",
1996,3.0,Richard Krajicek,17,NED,MaliVai Washington,0,USA,"6–3, 6–4, 6–3",
1996,4.0,Pete Sampras,1,USA,Michael Chang,2,USA,"6–1, 6–4, 7–6(7–3)",
1997,1.0,Pete Sampras,1,USA,Carlos Moyá,0,ESP,"6–2, 6–3, 6–3",
1997,2.0,Gustavo Kuerten,0,BRA,Sergi Bruguera,16,ESP,"6–3, 6–4, 6–2",
1997,3.0,Pete Sampras,1,USA,Cédric Pioline,0,FRA,"6–4, 6–2, 6–4",
1997,4.0,Patrick Rafter,13,AUS,Greg Rusedski,0,GBR,"6–3, 6–2, 4–6, 7–5",
1998,1.0,Petr Korda,6,CZE,Marcelo Ríos,9,CHI,"6–2, 6–2, 6–2",
1998,2.0,Carlos Moyá,12,ESP,Àlex Corretja,14,ESP,"6–3, 7–5, 6–3",
1998,3.0,Pete Sampras,1,USA,Goran Ivanišević,14,CRO,"6–7(2–7), 7–6(11–9), 6–4, 3–6, 6–2",
1998,4.0,Patrick Rafter,3,AUS,Mark Philippoussis,0,AUS,"6–3, 3–6, 6–2, 6–0",
1999,1.0,Yevgeny Kafelnikov,10,RUS,Thomas Enqvist,0,SWE,"4–6, 6–0, 6–3, 7–6(7–1)",
1999,2.0,Andre Agassi,13,USA,Andrei Medvedev,0,UKR,"1–6, 2–6, 6–4, 6–3, 6–4",
1999,3.0,Pete Sampras,1,USA,Andre Agassi,4,USA,"6–3, 6–4, 7–5",
1999,4.0,Andre Agassi,2,USA,Todd Martin,7,USA,"6–4, 6–7(5–7), 6–7(2–7), 6–3, 6–2",
2000,1.0,Andre Agassi,1,USA,Yevgeny Kafelnikov,2,RUS,"3–6, 6–3, 6–2, 6–4",
2000,2.0,Gustavo Kuerten,5,BRA,Magnus Norman,3,SWE,"6–2, 6–3, 2–6, 7–6(8–6)",
2000,3.0,Pete Sampras,1,USA,Patrick Rafter,12,AUS,"6–7(10–12), 7–6(7–5), 6–4, 6–2",
2000,4.0,Marat Safin,6,RUS,Pete Sampras,4,USA,"6–4, 6–3, 6–3",
2001,1.0,Andre Agassi,6,USA,Arnaud Clément,15,FRA,"6–4, 6–2, 6–2",
2001,2.0,Gustavo Kuerten,1,BRA,Àlex Corretja,13,ESP,"6–7(3–7), 7–5, 6–2, 6–0",
2001,3.0,Goran Ivanišević,0,CRO,Patrick Rafter,3,AUS,"6–3, 3–6, 6–3, 2–6, 9–7",
2001,4.0,Lleyton Hewitt,4,AUS,Pete Sampras,10,USA,"7–6(7–4), 6–1, 6–1",
2002,1.0,Thomas Johansson,16,SWE,Marat Safin,9,RUS,"3–6, 6–4, 6–4, 7–6(7–4)",
2002,2.0,Albert Costa,20,ESP,Juan Carlos Ferrero,11,ESP,"6–1, 6–0, 4–6, 6–3",
2002,3.0,Lleyton Hewitt,1,AUS,David Nalbandian,28,ARG,"6–1, 6–3, 6–2",
2002,4.0,Pete Sampras,17,USA,Andre Agassi,6,USA,"6–3, 6–4, 5–7, 6–4",
2003,1.0,Andre Agassi,2,USA,Rainer Schüttler,31,GER,"6–2, 6–2, 6–1",
2003,2.0,Juan Carlos Ferrero,3,ESP,Martin Verkerk,0,NED,"6–1, 6–3, 6–2",
2003,3.0,Roger Federer,4,SUI,Mark Philippoussis,0,AUS,"7–6(7–5), 6–2, 7–6(7–3)",
2003,4.0,Andy Roddick,4,USA,Juan Carlos Ferrero,3,ESP,"6–3, 7–6(7–2), 6–3",
2004,1.0,Roger Federer,2,SUI,Marat Safin,0,RUS,"7–6(7–3), 6–4, 6–2",
2004,2.0,Gastón Gaudio,0,ARG,Guillermo Coria,3,ARG,"0–6, 3–6, 6–4, 6–1, 8–6",
2004,3.0,Roger Federer,1,SUI,Andy Roddick,2,USA,"4–6, 7–5, 7–6(7–3), 6–4",
2004,4.0,Roger Federer,1,SUI,Lleyton Hewitt,4,AUS,"6–0, 7–6(7–3), 6–0",
2005,1.0,Marat Safin,4,RUS,Lleyton Hewitt,3,AUS,"1–6, 6–3, 6–4, 6–4",
2005,2.0,Rafael Nadal,4,ESP,Mariano Puerta,0,ARG,"6–7(6–8), 6–3, 6–1, 7–5",
2005,3.0,Roger Federer,1,SUI,Andy Roddick,2,USA,"6–2, 7–6(7–2), 6–4",
2005,4.0,Roger Federer,1,SUI,Andre Agassi,7,USA,"6–3, 2–6, 7–6(7–1), 6–1",
2006,1.0,Roger Federer,1,SUI,Marcos Baghdatis,0,CYP,"5–7, 7–5, 6–0, 6–2",
2006,2.0,Rafael Nadal,2,ESP,Roger Federer,1,SUI,"1–6, 6–1, 6–4, 7–6(7–4)",
2006,3.0,Roger Federer,1,SUI,Rafael Nadal,2,ESP,"6–0, 7–6(7–5), 6–7(2–7), 6–3",
2006,4.0,Roger Federer,1,SUI,Andy Roddick,9,USA,"6–2, 4–6, 7–5, 6–1",
2007,1.0,Roger Federer,1,SUI,Fernando González,10,CHI,"7–6(7–2), 6–4, 6–4",
2007,2.0,Rafael Nadal,2,ESP,Roger Federer,1,SUI,"6–3, 4–6, 6–3, 6–4",
2007,3.0,Roger Federer,1,SUI,Rafael Nadal,2,ESP,"7–6(9–7), 4–6, 7–6(7–3), 2–6, 6–2",
2007,4.0,Roger Federer,1,SUI,Novak Djokovic,3,SRB,"7–6(7–4), 7–6(7–2), 6–4",
2008,1.0,Novak Djokovic,3,SRB,Jo-Wilfried Tsonga,0,FRA,"4–6, 6–4, 6–3, 7–6(7–2)",
2008,2.0,Rafael Nadal,2,ESP,Roger Federer,1,SUI,"6–1, 6–3, 6–0",
2008,3.0,Rafael Nadal,2,ESP,Roger Federer,1,SUI,"6–4, 6–4, 6–7(5–7), 6–7(8–10), 9–7",
2008,4.0,Roger Federer,2,SUI,Andy Murray,6,GBR,"6–2, 7–5, 6–2",
2009,1.0,Rafael Nadal,1,ESP,Roger Federer,2,SUI,"7–5, 3–6, 7–6(7–3), 3–6, 6–2",
2009,2.0,Roger Federer,2,SUI,Robin Söderling,23,SWE,"6–1, 7–6(7–1), 6–4",
2009,3.0,Roger Federer,2,SUI,Andy Roddick,6,USA,"5–7, 7–6(8–6), 7–6(7–5), 3–6, 16–14",
2009,4.0,Juan Martin del Potro,6,ARG,Roger Federer,1,SUI,"3–6, 7–6(7–5), 4–6, 7–6(7–4), 6–2",
2010,1.0,Roger Federer,1,SUI,Andy Murray,5,GBR,"6–3, 6–4, 7–6(13–11)",
2010,2.0,Rafael Nadal,2,ESP,Robin Söderling,5,SWE,"6–4, 6–2, 6–4",
2010,3.0,Rafael Nadal,2,ESP,Tomáš Berdych,12,CZE,"6–3, 7–5, 6–4",
2010,4.0,Rafael Nadal,1,ESP,Novak Djokovic,3,SRB,"6–4, 5–7, 6–4, 6–2",
2011,1.0,Novak Djokovic,3,SRB,Andy Murray,5,GBR,"6–4, 6–2, 6–3",
2011,2.0,Rafael Nadal,1,ESP,Roger Federer,3,SUI,"7–5, 7–6(7–3), 5–7, 6–1",
2011,3.0,Novak Djokovic,2,SRB,Rafael Nadal,1,ESP,"6–4, 6–1, 1–6, 6–3",
2011,4.0,Novak Djokovic,1,SRB,Rafael Nadal,2,ESP,"6–2, 6–4, 6–7(3–7), 6–1",
2012,1.0,Novak Djokovic,1,SRB,Rafael Nadal,2,ESP,"5–7, 6–4, 6–2, 6–7(5–7), 7–5",
2012,2.0,Rafael Nadal,2,ESP,Novak Djokovic,1,SRB,"6–4, 6–3, 2–6, 7–5",
2012,3.0,Roger Federer,3,SUI,Andy Murray,4,GBR,"4–6, 7–5, 6–3, 6–4",
2012,4.0,Andy Murray,3,GBR,Novak Djokovic,2,SRB,"7–6(12–10), 7–5, 2–6, 3–6, 6–2",
2013,1.0,Novak Djokovic,1,SRB,Andy Murray,3,GBR,"6–7(2–7), 7–6(7–3), 6–3, 6–2",
2013,2.0,Rafael Nadal,3,ESP,David Ferrer,4,ESP,"6–3, 6–2, 6–3",
2013,3.0,Andy Murray,2,GBR,Novak Djokovic,1,SRB,"6–4, 7–5, 6–4",
2013,4.0,Rafael Nadal,2,ESP,Novak Djokovic,1,SRB,"6–2, 3–6, 6–4, 6–1",
2014,1.0,Stan Wawrinka,8,SUI,Rafael Nadal,1,ESP,"6–3, 6–2, 3–6, 6–3",
2014,2.0,Rafael Nadal,1,ESP,Novak Djokovic,2,SRB,"3–6, 7–5, 6–2, 6–4",
2014,3.0,Novak Djokovic,1,SRB,Roger Federer,4,SUI,"6–7(7–9), 6–4, 7–6(7–4), 5–7, 6–4",
2014,4.0,Marin Čilić,14,CRO,Kei Nishikori,10,JPN,"6–3, 6–3, 6–3",
2015,1.0,Novak Djokovic,1,SRB,Andy Murray,6,GBR,"7–6(7–5), 6–7(4–7), 6–3, 6–0",
2015,2.0,Stan Wawrinka,8,SUI,Novak Djokovic,1,SRB,"4–6, 6–4, 6–3, 6–4",
2015,3.0,Novak Djokovic,1,SRB,Roger Federer,2,SUI,"7–6(7–1), 6–7(10–12), 6–4, 6–3",
2015,4.0,Novak Djokovic,1,SRB,Roger Federer,2,SUI,"6–4, 5–7, 6–4, 6–4",
2016,1.0,Novak Djokovic,1,SRB,Andy Murray,2,GBR,"6–1, 7–5, 7–6(7–3)",
2016,2.0,Novak Djokovic,1,SRB,Andy Murray,2,GBR,"3–6, 6–1, 6–2, 6–4",
2016,3.0,Andy Murray,2,GBR,Milos Raonic,6,CAN,"6–4, 7–6(7–3), 7–6(7–2)",
2016,4.0,Stan Wawrinka,3,SUI,Novak Djokovic,1,SRB,"6–7(1–7), 6–4, 7–5, 6–3",
2017,1.0,Roger Federer,17,SUI,Rafael Nadal,9,ESP,"6–4, 3–6, 6–1, 3–6, 6–3",
2017,2.0,Rafael Nadal,4,ESP,Stan Wawrinka,3,SUI,"6–2, 6–3, 6–1",
2017,3.0,Roger Federer,3,SUI,Marin Čilić,7,CRO,"6–3, 6–1, 6–4",
2017,4.0,Rafael Nadal,1,ESP,Kevin Anderson,28,RSA,"6–3, 6–3, 6–4",
2018,1.0,Roger Federer,2,SUI,Marin Cilic,6,CRO,"6-2, 6-7(7-5), 6-3, 3-6, 6-1",
2018,2.0,Rafael Nadal,1,ESP,Dominic Thiem,7,AUT,"6-4, 6-3, 6-2",
2018,3.0,Novak Djokovic,12,SRB,Kevin Anderson,8,RSA,"6-2, 6-2, 7-6(7-3)",
2018,4.0,Novak Djokovic,6,SRB,Juan Martin del Potro,3,ARG,"6-3, 7-6(7-4), 6-3",
2019,1.0,Novak Djokovic,1,SRB,Rafael Nadal,2,ESP,"6–3, 6–2, 6–3",
2019,2.0,Rafael Nadal,2,ESP,Dominic Thiem,4,AUT,"6-3, 5-7, 6-1, 6-1",
2019,3.0,Novak Djokovic,1,SRB,Roger Federer,2,SUI,"7-6(7-5), 1-6, 7-6(7-4), 4-6, 13-12(7-3)",
2019,4.0,Rafael Nadal,2,ESP,Daniil Medvedev,5,RUS,"7-5, 6-3, 5-7, 4-6, 6-4",
2020,1.0,Novak Djokovic,2,SRB,Dominic Thiem,5,AUT,"6-4, 4-6, 2-6, 6-3, 6-4",
2020,2.0,Rafael Nadal,2,ESP,Novak Djokovic,1,SRB,"6-0, 6-2, 7-5",
2020,4.0,Dominic Thiem,2,AUT,Alexander Zverev,5,GER,"2-6, 4-6, 6-4, 6-3, 7-6(8-6)",
2021,1.0,Novak Djokovic,1,SRB,Daniil Medvedev,4,RUS,"7-5, 6-2, 6-2",
1968,,Nancy Richey,5,USA,Ann Haydon Jones,2,GBR,"5–7, 6–4, 6–1",2.0
1968,,Billie Jean King,1,USA,Judy Tegart,7,AUS,"9–7, 7–5",3.0
1968,,Virginia Wade,6,GBR,Billie Jean King,1,USA,"6–4, 6–2",4.0
1969,,Margaret Court,2,AUS,Billie Jean King,1,USA,"6–4, 6–1",1.0
1969,,Margaret Court,1,AUS,Ann Haydon Jones,3,GBR,"6–1, 4–6, 6–3",2.0
1969,,Ann Jones,4,GBR,Billie Jean King,2,USA,"3–6, 6–3, 6–2",3.0
1969,,Margaret Court,2,AUS,Nancy Richey,6,USA,"6–2, 6–2",4.0
1970,,Margaret Court,1,AUS,Kerry Melville,2,AUS,"6–1, 6–3",1.0
1970,,Margaret Court,1,AUS,Helga Niessen,7,FRG,"6–2, 6–4",2.0
1970,,Margaret Court,1,AUS,Billie Jean King,2,USA,"14–12, 11–9",3.0
1970,,Margaret Court,1,AUS,Rosemary Casals,2,USA,"6–2, 2–6, 6–1",4.0
1971,,Margaret Court,1,AUS,Evonne Goolagong,2,AUS,"2–6, 7–6(7–0), 7–5",1.0
1971,,Evonne Goolagong,3,AUS,Helen Gourlay,0,AUS,"6–3, 7–5",2.0
1971,,Evonne Goolagong,3,AUS,Margaret Court,1,AUS,"6–4, 6–1",3.0
1971,,Billie Jean King,1,USA,Rosemary Casals,2,USA,"6–4, 7–6",4.0
1972,,Virginia Wade,2,GBR,Evonne Goolagong,1,AUS,"6–4, 6–4",1.0
1972,,Billie Jean King,3,USA,Evonne Goolagong,1,AUS,"6–3, 6–3",2.0
1972,,Billie Jean King,2,USA,Evonne Goolagong,1,AUS,"6–3, 6–3",3.0
1972,,Billie Jean King,1,USA,Kerry Melville Reid,9,AUS,"6–3, 7–5",4.0
1973,,Margaret Court,1,AUS,Evonne Goolagong,2,AUS,"6–4, 7–5",1.0
1973,,Margaret Court,1,AUS,Chris Evert,2,USA,"6–7(5–7), 7–6(8–6), 6–4",2.0
1973,,Billie Jean King,2,USA,Chris Evert,4,USA,"6–0, 7–5",3.0
1973,,Margaret Court,1,AUS,Evonne Goolagong Cawley,4,AUS,"7–6, 5–7, 6–2",4.0
1974,,Evonne Goolagong,2,AUS,Chris Evert,1,USA,"7–6(7–5), 4–6, 6–0",1.0
1974,,Chris Evert,1,USA,Olga Morozova,3,URS,"6–1, 6–2",2.0
1974,,Chris Evert,2,USA,Olga Morozova,8,URS,"6–0, 6–4",3.0
1974,,Billie Jean King,2,USA,Evonne Goolagong Cawley,5,AUS,"3–6, 6–3, 7–5",4.0
1975,,Evonne Goolagong,3,AUS,Martina Navratilova,8,TCH,"6–3, 6–2",1.0
1975,,Chris Evert,1,USA,Martina Navratilova,2,TCH,"2–6, 6–2, 6–1",2.0
1975,,Billie Jean King,3,USA,Evonne Goolagong Cawley,4,AUS,"6–0, 6–1",3.0
1975,,Chris Evert,1,USA,Evonne Goolagong Cawley,4,AUS,"5–7, 6–4, 6–2",4.0
1976,,Evonne Goolagong,1,AUS,Renáta Tomanová,5,TCH,"6–2, 6–2",1.0
1976,,Sue Barker,1,GBR,Renáta Tomanová,0,TCH,"6–2, 0–6, 6–2",2.0
1976,,Chris Evert,1,USA,Evonne Goolagong Cawley,2,AUS,"6–3, 4–6, 8–6",3.0
1976,,Chris Evert,1,USA,Evonne Goolagong Cawley,2,AUS,"6–3, 6–0",4.0
